user_id,region,farm_type,crop_type,farm_size_ha,years_experience,monthly_income_est,recent_cash_inflows,avg_order_value,device_trust_score,identity_consistency,prior_defaults,liquidity_ratio,true_preferred_product
SYNTHETIC_0001,South,smallholder,livestock,1.4718167978591616,13,18102.208853935157,32344.7224110375,1336.0542966177934,73.51117460345807,73.31527051517469,0,1.786783186075451,Cash_Advance
SYNTHETIC_0002,Central,smallholder,vegetables,3.8332588406891706,4,11653.277266912019,28134.24092962505,1086.1856468468611,81.90851027393077,58.8547976532378,0,2.414277141547864,Fertilizer_BNPL
SYNTHETIC_0003,West,cooperative,livestock,47.554532500463694,1,45282.87053683141,78940.36850730971,10315.335564386884,90.74957222893715,90.84275100256124,1,1.7432721815438477,Input_Bundle
SYNTHETIC_0004,East,commercial,horticulture,245.179875549514,21,147717.27242318678,276426.14047034597,66527.91997252393,67.9756010834921,84.03305393502745,0,1.8713190132459832,Premium_BNPL
SYNTHETIC_0005,North,commercial,rice,7.283438595071736,23,31559.780171048493,69904.04718112838,2089.0837160092456,75.71754427730527,71.64352452615252,1,2.214972563251729,Seeds_BNPL
SYNTHETIC_0006,North,commercial,horticulture,11.842171696040904,7,24850.91026058909,28082.900110737104,1122.6562689072196,77.02277977978251,86.08835663383871,0,1.1300551897800544,Fertilizer_BNPL
SYNTHETIC_0007,North,commercial,rice,149.97972249753278,6,81180.91592865293,84782.14923794256,58452.43348201581,62.157047057591654,90.54663008022705,0,1.0443605897777086,Premium_BNPL
SYNTHETIC_0008,Central,commercial,maize,74.71685815181706,9,80146.33363771424,141790.74183784018,17534.226695903493,87.66687682488623,45.25603792295092,0,1.769148199327213,Seeds_BNPL
SYNTHETIC_0009,East,smallholder,mixed,11.12050942280832,4,20639.829768203952,28240.51659413291,2666.701132772318,90.30016076709802,74.17643773264196,4,1.3682533679438558,Input_Bundle
SYNTHETIC_0010,West,smallholder,horticulture,0.5,13,16935.024093068245,26140.61698848717,1688.5824230533876,88.34135228793201,95.56054645747882,1,1.5435831000197342,Fertilizer_BNPL
SYNTHETIC_0011,North,smallholder,livestock,22.601738465230607,8,26281.123845322905,46677.03713075766,11831.437035106683,52.45753758528262,90.03170084501822,0,1.7760670131716796,Premium_BNPL
SYNTHETIC_0012,Central,cooperative,maize,3.537264870938114,7,8039.850134383416,18978.85592212324,1000.0,69.80655861257232,65.3972109188901,0,2.3605982207252607,Seeds_BNPL
SYNTHETIC_0013,West,cooperative,mixed,14.789309302397253,7,16631.89688099325,8325.296324487297,4917.67456897373,96.57360298744227,93.0081484761926,0,0.5005620455716844,Input_Bundle
SYNTHETIC_0014,North,smallholder,livestock,1.7748091203014096,9,7298.596307170351,8332.66838771595,1000.0,44.51789397322681,82.60519644605941,0,1.1416809530251313,Premium_BNPL
